learning_rate,num_steps,beta1,beta2,beta3,hidden_1,hidden_2,hidden_3,input_dim,test_rmse_score,test_r2_score,hidden_4,beta4
0.1,8500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.111484502316957,0.91777112976645,,
0.1,7600.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.106918565937488,0.924368698382693,,
0.05,7600.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.119165499756248,0.906050082758847,,
0.1,7600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.37677158178244,0.060814018866113,,
0.1,3500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.107787672929888,0.923134135451416,,
0.05,8500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.122024654785135,0.901487690679646,,
0.1,7600.0,0.005,0.005,0.0,16.0,8.0,4.0,403.0,0.389770581393995,-0.005109639979895,,
0.1,7600.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.109705330806783,0.920374753975842,,
0.1,7600.0,0.1,0.005,0.005,200.0,100.0,30.0,403.0,0.3896761729994821,-0.004622793101507,,
0.1,9600.0,0.0,0.0,0.0,200.0,100.0,30.0,403.0,0.3898252327117129,-0.00539152075755,,
0.1,3600.0,0.1,0.0,0.0,200.0,100.0,30.0,403.0,1.76479241930207,-19.605472784252104,,
0.1,7600.0,0.1,0.0,0.0,200.0,100.0,30.0,403.0,0.389774120366652,-0.005127892110004001,,
0.1,17600.0,0.1,0.0,0.0,200.0,100.0,30.0,403.0,0.389772418153978,-0.005119112985831,,
0.1,15600.0,0.1,0.0,0.0,200.0,100.0,30.0,403.0,0.149463470023883,0.852203058726155,,
0.1,15600.0,0.1,0.0,0.0,32.0,16.0,8.0,403.0,0.389750488738387,-0.005006015939117,,
0.1,3600.0,0.1,0.0,0.0,1.0,0.0,0.0,403.0,0.104632724051525,0.9275680147582092,,
0.1,7500.0,0.1,0.0,0.0,1.0,0.0,0.0,403.0,0.105433475797858,0.926455132040912,,
0.1,7500.0,0.01,0.0,0.0,1.0,0.0,0.0,403.0,0.1044631746415,0.927802565668016,,
0.1,6000.0,0.01,0.0,0.0,1.0,0.0,0.0,403.0,0.158149317463747,0.834525922582353,,
0.1,86000.0,0.01,0.0,0.0,1.0,0.0,0.0,403.0,0.389881630044808,-0.005682448575048001,,
0.1,8600.0,0.01,0.0,0.0,1.0,0.0,0.0,403.0,0.389770581393995,-0.005109639979895,,
0.1,8600.0,0.1,0.0,0.0,1.0,0.0,0.0,403.0,0.11107640564268598,0.9183720367682828,,
0.1,3600.0,0.1,0.0,0.0,4.0,0.0,0.0,403.0,0.1052695791414,0.9266836057598208,,
0.1,3600.0,0.1,0.0,0.0,1.0,0.0,0.0,403.0,0.104898458984576,0.927199637645725,,
0.1,3600.0,0.1,0.0,0.0,32.0,0.0,0.0,403.0,0.19805608067916894,0.740479490194986,,
0.1,3600.0,0.1,0.0,0.0,16.0,0.0,0.0,403.0,0.607722547430074,-1.44346444401092,,
0.1,3600.0,0.1,0.0,0.0,16.0,0.0,0.0,403.0,0.106042531823009,0.925602986704982,,
0.1,7600.0,0.1,0.0,0.0,1.0,0.0,0.0,403.0,0.105914433631509,0.925782619660768,,
0.1,7600.0,0.1,0.0,0.0,16.0,0.0,0.0,403.0,0.10705023914802304,0.92418229954034,,
0.1,3900.0,0.1,0.0,0.0,16.0,0.0,0.0,403.0,0.107678819651946,0.9232893086021252,,
0.1,2000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.15792759464036998,0.841196091456619,,
0.1,7600.0,0.1,0.005,0.005,16.0,8.0,4.0,403.0,0.138569621496383,0.877740896446705,,
0.1,8600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.133445098347979,0.886616359308522,,
0.1,8600.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.129290803134855,0.8935659931253549,,
0.1,3600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.119097395832089,0.909687123195982,,
0.1,3500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.51274841807903,-0.673993641428985,,
0.1,9600.0,0.1,0.005,0.005,16.0,8.0,4.0,403.0,0.124896138635285,0.9006785230584821,,
0.1,9600.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.205645633890491,0.7307323796046721,,
0.1,19600.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.132143139000118,0.888818025159996,,
0.1,19600.0,0.1,0.01,0.001,16.0,8.0,4.0,403.0,0.235627791791829,0.6464928744669539,,
0.1,19600.0,0.1,0.0005,5e-06,16.0,8.0,4.0,403.0,0.128857064518746,0.89427891473208,,
0.1,19600.0,0.0,0.0,0.0,16.0,8.0,4.0,403.0,0.396391260537306,-0.0004451593940069999,,
0.1,29600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.148699570734383,0.8592123449888991,,
0.1,4000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.17225721262729,0.811070412425855,,
0.1,1750.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.396362108008914,-0.000298009664278,,
0.1,3600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.127960123327602,0.895745587406899,,
0.1,4000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.122812088091731,0.903965478551238,,
0.1,7600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.12726600563577906,0.896873572585457,,
0.1,5500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.12783081051294198,0.895956193949149,,
0.1,7600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,399.635051742971,-1016885.05459779,,
0.1,17600.0,0.1,0.0005,5e-06,16.0,8.0,4.0,403.0,0.122933565212107,0.903775403341256,,
0.1,17100.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.123995926356468,0.9021051194757758,,
0.1,19500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.12212757412306698,0.905033024496487,,
0.1,29500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.121803163488013,0.905536880871514,,
0.1,49500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.120711675079901,0.9072222793209208,,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.104177895385129,0.928196356244966,,
0.1,19500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.08960079798978801,0.946884768387592,,
0.1,19500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.118142105661663,0.907656838602764,,
0.1,19500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.118142105661663,0.907656838602764,,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.090853033297312,0.945389747100365,,
0.1,9500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.090914512463244,0.94531581387807,,
0.1,19500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.091638030205606,0.9444419729208052,,
0.05,39500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.076998937337581,0.960774834237612,,
0.1,49500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.073579050509759,0.9641818061125028,,
